split,image,reason,num_boxes
train,/content/American-Language-1/train/images/A-10-_jpeg.rf.00deb6ff0107f727d6a37da1c627f9fc.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-11-_jpeg.rf.3c571ad9b96314f11e3271ed4b36cbf6.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-11-_jpeg.rf.72d7a562557a36eb2022841a32c86855.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-12-_jpeg.rf.b74cd91919c88f12b4ec87e39775144e.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-12-_jpeg.rf.f74f5197133e3b617c2894dbd899696e.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-12-_jpeg.rf.fbc8c42f4b050c7ba5479729774ae4d2.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-13-_jpeg.rf.5e922aaa433b3e12887e1d8a1d01ad26.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-13-_jpeg.rf.9751b608eb04ff8234cf93f5ca5fa003.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-14-_jpeg.rf.656460f9052887517a7819317b7de8a3.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-14-_jpeg.rf.b93de2d244c5ea27729471b1c3545004.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-15-_jpeg.rf.095304fb5b12bc5afcbcc7ee42c2923e.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-15-_jpeg.rf.9f68b5503eb74a3e226a483ac6223c15.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-15-_jpeg.rf.b6594538bdff2ef76993c1564c62f73e.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-17-_jpeg.rf.be46ebb560f3ba30c3903ab7fda77e59.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-17-_jpeg.rf.d85025438364713040ee6a13502c4fd1.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-17-_jpeg.rf.db289e77f2126f0ffc3dc6ef2947d122.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-18-_jpeg.rf.3aea132672f0fac19ba0247c18c10bac.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-18-_jpeg.rf.8da12e34ee8d0fbd6d1f283170790f07.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-18-_jpeg.rf.a456c25daa5ab3776771f81378fdf197.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-19-_jpeg.rf.b6257e367ee0aa07a07847fea5d488df.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-20-_jpeg.rf.569fec2d43fedab224504d36a11530e6.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-22-_jpeg.rf.df278430f8873a0776dba58b50beb962.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-24-_jpeg.rf.81c32991fbd08d0f8ec7595db40051d7.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-24-_jpeg.rf.86c805374193bdbe768d18b973a37de7.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-24-_jpeg.rf.94a0f59d2c46f3aaba90a61d44560542.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-25-_jpeg.rf.7c2a32363843c3ffcfc858e336739a20.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-25-_jpeg.rf.91cb79f9748506f56e6f0e0a62db5bf1.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-25-_jpeg.rf.950882fa51e1223397add4b9ec4352a7.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-26-_jpeg.rf.106813e3104332a29029cfbf7f12467d.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-26-_jpeg.rf.44ab4f8141018383ee9345dbf1b8a5fa.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-26-_jpeg.rf.5f1c9340bc579a8a35f87dbe4dcee57b.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-28-_jpeg.rf.c0cac034b492151b950c77c71130d6b3.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-28-_jpeg.rf.f628df5796577afa281bcf4550d59a08.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-3-_jpeg.rf.c1acd389766cb926aa1ebf4410120319.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-3-_jpeg.rf.c70cc217d7d93ab10a239d4e91ab769d.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-3-_jpeg.rf.fee014cf0cea5f3c1dda08068bfa6fc5.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-30-_jpeg.rf.64f1a72842f095168955674a8d0d8e6f.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-30-_jpeg.rf.840fbdbf62b5eb9bbc3de5297cb45ed6.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-32-_jpeg.rf.59c373cf5c54bc166b65188ada4b7dcd.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-32-_jpeg.rf.6be3816638ba09768c94abcc29c99d2f.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-33-_jpeg.rf.012c35ad04169114feb6e0391b0b8e7a.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-34-_jpeg.rf.2f56965311c3d1da15aa3568d1ab83f2.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-34-_jpeg.rf.5d9db2d7b61ed796eb73b69e447c7d06.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-34-_jpeg.rf.f6c52d9e8b2d0e3ac9bb8b5682b639f6.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-36-_jpeg.rf.32cb433cfa5e82eec747831c8e5277f3.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-36-_jpeg.rf.59b5904f74de08aed11e01713e7317f4.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-36-_jpeg.rf.f75cce510a21af157e1be39d5ef7d0a2.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-37-_jpeg.rf.20191634e10e08840fc0a70ec1259d43.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-37-_jpeg.rf.44eca7fa87edbb1658cfd274d7d7108e.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-37-_jpeg.rf.ad1aee8775fa350e3077c1ab01bfedfe.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-38-_jpeg.rf.02e2da5a1552ddc4ce9f39c188fc2662.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-38-_jpeg.rf.b2c17aacf4cbc989eaf8558ec6cbeb3d.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-38-_jpeg.rf.e40bdf6ba18ad44324090988be317be2.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-39-_jpeg.rf.3f9568fc67dfccb3d8f8c6970c96f0b9.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-41-_jpeg.rf.17e14650a6deb7e39552deb526e42159.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-41-_jpeg.rf.303c687240f36a6864f3ad556ace0891.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-44-_jpeg.rf.127b7bbe9d640115b5440be364d1827d.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-44-_jpeg.rf.7991630304cd63ab2656f05ee150c51f.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-44-_jpeg.rf.fe0cacf25c86cd47598c91b71790e3b5.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-45-_jpeg.rf.2605642e5bcb09de2d9af7edfc2ef15d.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-45-_jpeg.rf.84b0fc0e268186c4d1d2f48c0b98671b.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-45-_jpeg.rf.eafc7357f600dc34255e0e97c237ac53.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-47-_jpeg.rf.15cabfcc8e338a9e568cb2d8827faade.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-47-_jpeg.rf.22528caf9c37d957dcd431d27bd55faa.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-47-_jpeg.rf.332c36cd18b73ea0f63db716a0a41d37.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-48-_jpeg.rf.648a1f37889e6382ad0892ff83cc48d6.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-48-_jpeg.rf.9fd2f512bd4a323e6fa771f1d5c52255.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-48-_jpeg.rf.a6b8351f5d0450f32562ca3e2bad44bb.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-49-_jpeg.rf.1a9f725d6efefae7e6ba773a7d64a7af.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-49-_jpeg.rf.26296a223b41fee33fef622bddaf9506.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-49-_jpeg.rf.aee529b3671361cf37b90680b837479c.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-5-_jpeg.rf.bd00cf34fc77c08cded05609e195c2f9.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-50-_jpeg.rf.5903f334e7028b0cfa7ff38c9c608ed6.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-50-_jpeg.rf.768344bd2c5b256817ba6ea338d29f04.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-50-_jpeg.rf.f007fcae9b3089d58e543654c7dde294.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-51-_jpeg.rf.231f06bf2e61c06578c150b508f934e1.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-51-_jpeg.rf.d9d418d43c41c5bbc6795d7654d90ee4.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-51-_jpeg.rf.fa3cfa5bfeffb804bd62bd3b7f89b430.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-52-_jpeg.rf.64a98881e5fd5681a2af6b0b3d051a0c.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-53-_jpeg.rf.54d9d97ad36e08405f9c9cb94c9c48d4.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-53-_jpeg.rf.81bbe56df47c00dbf682bbb21e257fa3.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-53-_jpeg.rf.d6ed45d26fa63c72476f6125682921ca.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-54-_jpeg.rf.2da83285457b6a792f2b696bee4f810d.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-54-_jpeg.rf.6b13e17516fa298adaf717d7fd83620a.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-54-_jpeg.rf.c381f2eab9bb808cf1d26ba2f443a2bd.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-55-_jpeg.rf.2213940dca2fec0c096134197096ef7d.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-55-_jpeg.rf.8d40dbc4076d5dd855116ae27d554f57.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-56-_jpeg.rf.89f8b83aa088ee141f0c56a350166d66.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-56-_jpeg.rf.b1290bc376222a88cfbc3512476e3429.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-56-_jpeg.rf.cbb43ed15d9d7452b2cf9cb099791b98.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-57-_jpeg.rf.5725ad5ee46c6e8cd2e6ed856c0e0360.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-57-_jpeg.rf.92884cdd42103f01abcd663e4d7a5312.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-58-_jpeg.rf.3cdd382cc2bfaa00e72abdf83667c9c5.jpg,no_hand_detected,1
train,/content/American-Language-1/train/images/A-58-_jpeg.rf.4e186da8edcf2cc9f89d37356182e830.jpg,no_hand_detected,1
